,file,page
328,3360597,1
329,2591004,11
330,3061664,8
331,3434293,1
332,ICSE.2019.00075,6
333,3360584,7
334,3453483.3454039,13
335,3434339,7
336,3290381,19
337,3133850.3133851,4
338,3293883.3295728,7
339,SC.2018.00072,1
340,151271.151277,6
341,SC.2018.00065,13
342,3377811.3380348,23
343,1916461.1916470,2
344,1186785.1186790,5
345,1356052.1356057,13
346,2450153.2450159,8
347,3290368,24
348,3360571,18
349,3395363.3397348,2
350,178365.178391,20
351,3293883.3295711,12
352,1391989.1391995,10
353,3434330,22
354,3452296.3472913,12
355,3360576,4
356,1268776.1268782,0
357,3368089.3409748,4
358,3434311,11
359,3377811.3380360,1
360,962437.962444,17
361,3434293,29
362,214392.214395,5
363,3434330,4
364,3290335,17
365,3213846.3213872,0
366,3314221.3314645,1
367,3341301.3359652,5
368,1356052.1356057,19
369,2591005,13
370,1916461.1916470,17
371,3360568,19
372,3468264.3468533,4
373,3110256,14
374,3341301.3359646,1
375,3295500.3356170,13
376,3446804.3446854,26
377,962437.962443,5
378,3485542,7
379,3395363.3397360,7
380,3332466.3374547,8
381,3428249,14
382,3341301.3359652,2
383,2898349,18
384,3341301.3359652,1
385,210089.210091,31
386,3236794,4
387,3290335,7
388,SC.2018.00065,0
389,3371081,25
390,3371109,12
391,3386367.3431297,1
392,3368089.3409704,3
393,3385412.3386004,12
394,3290372,15
395,210232.210235,1
396,3371136,30
397,3468264.3468626,8
398,3434286,12
399,3485531,17
400,3446804.3446854,10
401,3290335,12
402,3332466.3374537,3
403,3293883.3295731,6
404,3452296.3472898,5
405,3434293,7
406,3384441.3395984,1
407,3477132.3483550,7
408,3357766.3359545,0
409,3360576,12
410,3341301.3359638,2
411,198429.198438,1
412,3453483.3454068,3
413,3485503,22
414,3276508,0
415,3466752.3480122,11
416,356012.356018,12
417,3290370,26
418,3290350,6
419,3377811.3380360,4
420,1186785.1186790,4
421,3452296.3472905,1
422,ICSE.2019.00120,5
423,3477132.3483552,11
424,3468264.3468542,6
425,3452296.3472890,8
426,3341703,19
427,3447786.3456260,11
428,2591004,17
429,3377811.3380385,9
430,3395363.3397380,10
431,3290331,5
432,347837.347852,16
433,3371134,7
434,SC.2018.00065,11
435,3341301.3359629,0
436,3377811.3380441,8
437,2699471,17
438,3236795,28
439,3185467.3185498,0
440,1236463.1236469,19
441,3371100,3
442,3341301.3359659,5
443,3371117,20
444,3385412.3386019,12
445,3385412.3385970,8
446,3373376.3378473,4
447,3408982,20
448,3386367.3431297,3
449,3453483.3454105,1
450,3304109.3306222,22
451,3466752.3480063,6
452,3110277,16
453,SC.2018.00064,6
454,63522.214390,3
455,3290331,23
456,3460319.3464841,10
457,3192366.3192414,0
458,3338906.3338916,11
459,2669372,21
460,ICSE.2019.00072,23
461,3384441.3395984,8
462,3485483,7
463,3360597,21
464,3133879,7
465,3371136,14
466,3447786.3456260,9
467,3278532.3278546,0
468,3133928,16
469,2845076,7
470,3468264.3468596,6
471,3428258,21
472,3236794,24
473,3377811.3380348,28
474,3485508,0
475,3360557,11
476,3230543.3230573,7
477,3360576,11
478,3281411.3281432,3
479,3365438.3410936,7
480,3461648.3463852,8
481,3371077,18
482,3360571,5
483,3110249,6
484,198429.198433,11
485,1141885.1141895,1
486,3437801.3441598,4
487,214392.214396,10
488,3276511,27
489,3276604.3276618,11
490,3368089.3409743,11
491,3168818,6
492,1186785.1186790,10
493,3360579,25
494,3236024.3236034,2
495,3133850.3133851,1
496,138351.138378,15
497,3453483.3454102,20
498,3360568,25
499,3428249,15
500,358407.358424,9
501,3485488,26
502,3133928,15
503,356056.356066,1
504,2882903.2882961,7
505,3453483.3454055,2
506,3136014.3136032,0
507,3477132.3483585,8
508,3485503,0
509,3387902.3392632,9
510,3178487.3178489,1
511,3293883.3295726,8
512,3360584,4
513,3477132.3483550,1
514,3192366.3192414,4
515,3304109.3325814,2
516,3434322,5
517,3092703.3092723,0
518,138351.138378,14
519,3387902.3392630,1
520,3213846.3213872,8
521,3373376.3378464,0
522,3437992.3439926,2
523,3485488,0
524,3208903.3208941,7
525,3360558,10
526,3434305,20
527,3452296.3472890,9
528,3092703.3092723,37
529,198429.198438,6
530,3133934,9
531,3136014.3136037,9
532,3158116,15
533,3368089.3409755,9
534,3445814.3446765,13
535,3485482,1
536,SC.2018.00065,1
537,3368089.3409755,1
538,3485531,24
539,3290319,6
540,1391989.1391995,11
541,3072959.2983617,6
542,3477132.3483550,11
543,3304109.3306222,18
544,3276528,3
545,3428220,5
546,3408988,10
547,3371117,27
548,3368089.3409745,9
549,3236795,8
550,3453483.3454092,15
551,1236463.1236469,0
552,3213846.3213851,10
553,ICSE.2019.00030,2
554,3360579,16
555,3371109,17
556,3377811.3380348,14
557,3158116,4
558,3373376.3378464,9
559,3368089.3409704,5
560,229473.229475,0
561,3371081,23
562,3477132.3483582,5
563,3485508,18
564,1916461.1916470,7
565,3373376.3378455,10
566,3133928,12
567,3434314,22
568,3178487.3178507,7
569,3437801.3441598,0
570,3338906.3338916,3
571,3377811.3380441,6
572,5960.214319,3
573,3386367.3432730,12
574,3428279,29
575,3371100,2
576,3204949.3204953,6
577,3338906.3338909,6
578,3460319.3464807,12
579,1391989.1404581,9
580,3083187.3083218,4
581,ICSE.2019.00072,6
582,3276516,23
583,3371081,22
584,3434293,15
585,3485531,0
586,3133902,19
587,3360571,23
588,3453483.3454041,10
589,3061664,11
590,275323.275328,6
591,214392.214396,7
592,3304109.3306222,51
593,6497.214326,0
594,3158141,16
595,138351.138378,9
596,3377811.3380360,0
597,3178487.3178507,4
598,1039813.1039820,4
599,3157735,15
600,3368826.3377913,6
601,3293883.3295728,13
602,3368089.3409748,9
603,2834115,14
604,3477132.3483585,11
605,3446804.3446854,9
606,3360579,20
607,3192366.3192414,14
608,3236024.3236034,8
609,3428258,1
610,3230543.3230564,1
611,3365438.3410943,1
612,3485503,21
613,3371077,25
614,3452296.3472932,5
615,3290381,24
616,3452296.3472905,13
617,3278532.3278546,2
618,3485520,16
619,2700586,3
620,3485503,10
621,3293883.3295726,9
622,3293883.3295726,7
623,3341642,2
624,2845076,3
625,3236780,12
626,1236463.1236469,18
627,3200921.3200933,2
628,3460319.3464834,4
629,3213846.3213851,1
630,3341697,6
631,3168824,8
632,1391989.1404581,1
633,2591004,9
634,3133894,28
635,3341703,13
636,3314221.3314596,2
637,3360568,22
638,3368089.3409726,11
639,3360571,3
640,CGO51591.2021.9370317,12
641,3368089.3409757,8
642,3368089.3409745,8
643,3428249,4
644,279232.279234,11
645,1824801.1824812,7
646,3168813,10
647,3447786.3456262,14
648,3204949.3204953,1
649,3453483.3454039,11
650,3365438.3410939,6
651,358407.358427,12
652,3452296.3472905,17
653,3236024.3236025,5
654,3236781,23
655,3460319.3464837,12
656,3471874.3472984,0
657,3072959.3054739,15
658,3110277,8
659,3204949.3204953,8
660,3471874.3472984,10
661,3360568,8
662,3293883.3295728,0
663,3314221.3314621,15
664,3119904,0
665,3428208,12
666,3447786.3456262,0
667,ICSE.2019.00123,3
668,3368089.3409704,2
669,3485514,26
670,3341697,19
671,3368089.3409729,6
672,3434293,10
673,3360571,25
674,3236024.3236034,3
675,3360576,3
676,3434322,2
677,210089.210091,2
678,78928.78932,2
679,3290331,24
680,3466752.3480122,8
681,3136014.3136016,3
682,3341301.3359640,15
683,3395351.3399343,6
684,3385412.3386000,12
685,3157735,2
686,3452296.3472932,12
687,3133894,19
688,3452296.3472902,1
689,356004.356010,5
690,3371077,15
691,3468264.3468533,6
692,3126908.3126948,9
693,3192366.3192410,7
694,326147.326153,7
695,1527286.1527291,8
696,962437.962443,0
697,3110249,8
698,3485503,4
699,203082.203088,6
700,3276499,1
701,3434336,15
702,3061709,1
703,3314221.3314594,5
704,1141885.1141895,15
705,3133895,2
706,1824801.1824814,8
707,3290368,22
708,3368089.3409729,4
709,3092703.3092727,6
